case_id,qgrid,job_id,status,spend_s,cost,kgrid,lambda_ref,lambda,lambda_relerr_pct,omega_log_ref_K,omega_log_K,omega_relerr_pct,top_q_share_pct,diagnosis,next_action
lam262,4,22835894,Finished,5264,116,32,0.676,0.701,3.70,469,440.0,-6.18,11,"q4 close to paper; stable top_q","compare with q6 and consider pressure-relaxed cell"
lam262,6,22835890,Finished,16650,370,32,0.676,0.552,-18.34,469,375.2,-20.00,12,"q4 to q6 drops strongly; q-grid or structure/pressure sensitivity not resolved","do not claim converged; inspect q-resolved contribution and consider pressure relaxation"
lam263,2,22835892,Finished,2585,57,32,0.76,0.453,-40.39,439.1,462.1,5.24,30,"coarse q-grid dominated by one mode; lambda not converged","rerun q4 with reduced k-grid to avoid QE k+q limit"
lam263,4,22835891,Failed,6089,135,32,0.76,,,,439.1,,,,,"SCF finished, ph.x failed at later q with set_kplusq too many k points","rerun q4 at kgrid 24"
lam264,2,22835899,Finished,730,16,32,0.53,0.235,-55.66,560.1,642.7,14.75,27,"coarse q-grid dominated by one mode; lambda not converged","use q4/q6"
lam264,4,22835897,Finished,5165,114,32,0.53,0.585,10.38,560.1,549.1,-1.96,22,"q4 close to paper; top_q acceptable but not tiny","run q6"
lam150,2,22835901,Finished,2967,65,32,0.43,0.229,-46.74,186.3,276.9,48.63,25,"coarse q-grid underestimates lambda and overestimates omega","use q4/q6"
lam150,4,22835898,Finished,24247,538,32,0.43,0.341,-20.70,186.3,223.3,19.86,10,"q4 improves but still low lambda/high omega","run q6"
lam154,2,22835906,Finished,8810,195,24,0.78,1.346,72.56,272,165.9,-39.01,38,"strong single-mode anomaly; q2 not converged","run q4 before any conclusion"
lam253,2,22835904,Finished,76672,1703,20,1.51,,,,130.9,,,,,"finished but full output package is about 52 GB and lbg log only retained startup lines; lambda.dat not retrieved","avoid full download; retrieve lambda.dat via selective file API or rerun with stricter scratch cleanup"
lam138,2,22835905,Finished,74701,1660,24,0.8,,,,89.41,,,,,"finished but full output package is about 30 GB and lbg log only retained startup lines; lambda.dat not retrieved","avoid full download; retrieve lambda.dat via selective file API or rerun with stricter scratch cleanup"
lam263,4,22839850,Finished,10028,222,24,0.76,0.733,-3.55,439.1,439.9,0.18,11,"q4 k24 rerun completed; fixes previous set_kplusq failure and is close to paper","treat as strong q4 reproduction; optional q6/k sweep if stricter convergence is needed"
lam035,2,22840171,Finished,2117,47,24x24x1,0.92,1.709,85.76,314.8,483.9,53.72,47,"2D smoke completed but single-mode anomaly dominates coarse q-grid; not converged and current structure needs source alignment","do not claim reproduction; validate rectangular B2C source structure before denser production scaling"
lam264,6,22839851,Finished,18320,407,32,0.53,0.507,-4.34,560.1,493.8,-11.84,14,"q6 lambda is close to paper and top_q is acceptable; omega remains about 12 percent low","near-converged lambda; inspect q4/q6 trend and pressure/structure sensitivity before final claim"
lam104,2,22839912,Finished,22841,507,16,1.56,1.137,-27.12,737,1307.3,77.38,4,"hydride harmonic q2 smoke completed; lambda low and omega too high despite low top_q","do not claim reproduction; hydride likely needs source-aligned pressure relaxation and anharmonic/method audit"
lam009,2,22839909,Finished,19017,422,24x24x1,1.7,2.284,34.35,230.2,153.2,-33.45,44,"2D MoS2 smoke completed but single-mode anomaly dominates coarse q-grid","do not claim reproduction; validate doped 2D structure and run denser q-grid only after source alignment"
lam123,2,22840165,Finished,26757,594,16,1.188,1.274,7.24,919,265.3,-71.13,12,"SnH8 hydride smoke has close lambda but omega_log is far too low","treat as workflow/structure smoke; audit hydride structure, pressure, and harmonic-vs-anharmonic method before scaling"
lam263,6,22840937,Finished,32680,726,24,0.76,0.703,-7.50,439.1,455.8,3.80,4,"q6 k24 confirms lam263 close to benchmark with low top_q; q4 and q6 are consistent enough for a strong fixed-structure reproduction","record as strong reproduction candidate; remaining caveat is pressure-relaxed-cell validation"
