case_id,formula,material_type,condition,pressure_GPa,space_group,prototype,a,b,c,structure_completeness,target_confidence,mismatch_flags,recommended_next_step,lambda_ref
lam001,"KC32 (K-doped 4x4 graphene, 6.25 at.%)",2d-layered,"Grokene (K-doped graphene 4x4), Allen-Dynes mean-field",0.0,"P-6m2 (reported P6/m2, reduced from P6/mmm by buckling)",doped 4x4 graphene superlattice (interstitial alkali); hexagonal,9.84,8.52,,lattice+proto,high,atomic_positions_manual_required,Recover or reconstruct full 4x4 fractional coordinates from paper figures/supplement before SCF build.,3.8
lam002,Li0.2P0.8,2d-layered,Li0.2P0.8 (A-X-B intercalated blue-P bilayer),0.0,,intercalated blue-phosphorus bilayer (A-X-B registry); 2D hexagonal,3.356,3.356,,lattice+proto,high,atomic_positions_manual_required,Use A-X-B bilayer geometry and supplement/figure data to place metal and P fractional coordinates.,1.2
lam003,Mg0.2P0.8,2d-layered,Mg0.2P0.8 (A-X-B intercalated blue-P bilayer),0.0,,intercalated blue-phosphorus bilayer (A-X-B registry); 2D hexagonal,3.327,3.327,,lattice+proto,high,atomic_positions_manual_required,Use A-X-B bilayer geometry and supplement/figure data to place metal and P fractional coordinates.,0.8
lam004,Na0.2P0.8,2d-layered,Na0.2P0.8 (A-X-B intercalated blue-P bilayer),0.0,,intercalated blue-phosphorus bilayer (A-X-B registry); 2D hexagonal,3.398,3.398,,lattice+proto,high,atomic_positions_manual_required,Use A-X-B bilayer geometry and supplement/figure data to place metal and P fractional coordinates.,1.1
lam005,Pb (monolayer on Si(111)),2d-layered,(single),,,"striped-incommensurate (SIC) Pb monolayer on Si(111); slab model (1 Pb layer + 3 Si bilayers, 22 A vacuum)",,,,none,medium,LKM_has_lambda_no_structure;atomic_positions_manual_required,Fetch original structure figure/supplement or author-provided slab coordinates; do not substitute a free Pb monolayer.,0.72
lam006,2H-NbS2,2d-layered,(single),0.0,P6_3/mmc (194),2H layered transition-metal dichalcogenide,,,,prototype only from source; lattice and fractional coordinates absent from LKM markdown,medium,LKM_has_lambda_no_structure;repo_current_structure_space_group_mismatch:R3m_vs_P6_3/mmc;atomic_positions_manual_required,Replace current NbS2 OpenLAM R3m candidate with a source-validated 2H P6_3/mmc cell.,0.554
lam007,Mg2B4C2,2d-layered,(single),0.0,p-3m1 (layer group),"2D MgB2-derived monolayer (Mg-B interior, B-C passivated surfaces); hexagonal",2.87,2.87,,lattice+proto,high,atomic_positions_manual_required,Use the reported layer group/lattice and recover fractional coordinates from supplement or reconstruct from the reported geometry.,1.4
lam008,CaTiS2,2d-layered,CaTiS2 (Ca-deposited monolayer),0.0,not reported; parent 1T-TiS2 P-3m1 (164 (parent)),"Ca-deposited monolayer 1T-TiS2, CABC stacking",3.58,3.58,vacuum 12 A used for monolayer calculations; deposited-cell c not tabulated,partial: a and CABC stacking reported; full Ca/Ti/S fractional coordinates absent from LKM markdown,high,repo_current_structure_not_source_verified;atomic_positions_manual_required,Build the CABC deposited monolayer explicitly; treat current OpenLAM CaTiS2 as a formula candidate only.,1.78
lam009,MoS2 monolayer + electron background,2d-layered,"electron-doped monolayer MoS2, x=0.18 electrons/f.u.",0.0,P-6m2 (monolayer proxy) (187),electron-doped single-layer trigonal-prismatic MoS2,3.122,3.122,vacuum >=14.5 A,partial: lattice and monolayer prototype given; Mo-S distance relaxed by doping but not tabulated in LKM markdown,medium,repo_current_structure_space_group_mismatch:P6_3/mmc_bulk_vs_monolayer;atomic_positions_manual_required,Replace current bulk 2H MoS2 structure with a doped monolayer slab and relax Mo-S distance for x=0.18.,1.7
lam010,TiB4,2d-layered,TiB4 bilayer +11% biaxial tensile strain,0.0,P4/nmm (129),"TiB4 bilayer TBBL, P4/nmm, +11% biaxial tensile strain",4.523,4.523,vacuum 20 A; unstrained bilayer a=4.075 A,"partial: bilayer symmetry, Ti displacement, and interlayer B-B distance reported; strained fractional coordinates absent",high,repo_current_structure_space_group_mismatch:Immm_vs_P4/nmm;atomic_positions_manual_required,Construct P4/nmm TBBL from source geometry and apply 11% biaxial strain before DFPT.,0.65
lam011,TiB4,2d-layered,TiB4 monolayer (freestanding),0.0,P4/mmm (123),"freestanding TiB4 monolayer TBML, planar Ti@B8 wheel network",4.106,4.106,vacuum 20 A,partial: monolayer symmetry and bonds reported; full fractional coordinates absent from LKM markdown,high,repo_current_structure_space_group_mismatch:Immm_vs_P4/mmm;atomic_positions_manual_required,Replace current TiB4 OpenLAM Immm candidate with a P4/mmm monolayer source build.,0.65
lam012,CaB6,2d-layered,hexagonal CaB6,0.0,P6/mmm (191),hexagonal 2D CaB6 monolayer,3.43,3.43,not tabulated; 2D slab vacuum required,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.,0.87
lam013,MgB6,2d-layered,hexagonal MgB6,0.0,P6/mmm (191),hexagonal 2D MgB6 monolayer,3.41,3.41,not tabulated; 2D slab vacuum required,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.,0.46
lam014,ScB6,2d-layered,hexagonal ScB6,0.0,P6/mmm (191),hexagonal 2D ScB6 monolayer,3.41,3.41,not tabulated; 2D slab vacuum required,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.,0.6
lam015,TiB6,2d-layered,hexagonal TiB6,0.0,P6/mmm (191),hexagonal 2D TiB6 monolayer,3.41,3.41,not tabulated; 2D slab vacuum required,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.,0.4
lam016,CaB6,2d-layered,type-I orthorhombic CaB6,0,Pmmm,"type-I orthorhombic MB6 monolayer (delta4 borophene-derived, eta=1/4)",,,,proto-only,high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.,0.57
lam017,MgB6,2d-layered,type-I orthorhombic MgB6,0,Pmmm,"type-I orthorhombic MB6 monolayer (delta4 borophene-derived, eta=1/4)",3.46,2.9,,lattice+proto,high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.,0.59
lam018,TiB6,2d-layered,type-II orthorhombic (2x1) TiB6,0,Pmmm,type-II orthorhombic (2x1) MB6 monolayer (CDW-stabilized supercell),6.76,2.95,,lattice+proto,high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.,0.92
lam019,YB6,2d-layered,type-III orthorhombic (2x1) YB6,0,Pmmm,type-III orthorhombic (2x1) MB6 monolayer (CDW-stabilized supercell),,,,proto-only,high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.,1
lam020,CeH10,2d-layered,"CeH10 (Fm-3m) 94 GPa, mu*=0.10",94,,,,,,none,low,condition_material_mismatch;same_paper_condition_suspect_wrong_family;LKM_has_lambda_no_structure;material_type_should_be_hydride_or_paper_id_wrong,Find the correct CeH10 high-pressure hydride source/paper_id before any benchmark structure is built.,1.952
lam021,CeH9,2d-layered,"CeH9 (F-43m) 94 GPa, mu*=0.10",94,,,,,,none,low,condition_material_mismatch;same_paper_condition_suspect_wrong_family;LKM_has_lambda_no_structure;material_type_should_be_hydride_or_paper_id_wrong,Reassign to the correct CeH9 high-pressure hydride paper; do not use this 2D borophene paper.,1.596
lam022,HPC3,2d-layered,"HPC3, 1% biaxial strain",,,"2D hydrogenated phosphorus carbide (hexagonal, H1P2C6); 2P+6C+2H per cell",5.46208,5.46208,,lattice+proto,high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.,1.05
lam023,HPC3,2d-layered,"HPC3, 2% biaxial strain",,,"2D hydrogenated phosphorus carbide (hexagonal, H1P2C6); 2P+6C+2H per cell",5.51616,5.51616,,lattice+proto,high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.,1.24
lam024,HPC3,2d-layered,"HPC3, 3% biaxial strain (f1f2 corrected)",,,"2D hydrogenated phosphorus carbide (hexagonal, H1P2C6); 2P+6C+2H per cell",5.57024,5.57024,,lattice+proto,high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.,1.65
lam025,HPC3,2d-layered,"HPC3, unstrained",,,"2D hydrogenated phosphorus carbide (hexagonal, H1P2C6); 2P+6C+2H per cell; P-H=1.445A, P-C=1.765A, C-C=1.428A, H-H vertical h=3.874A",5.408,5.408,,lattice+proto,high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.,0.95
lam026,ISnH8,2d-layered,I-4m2 SnH8 250 GPa (mu*=0.10),250,,,,,,none,low,condition_material_mismatch;same_paper_condition_suspect_wrong_family;LKM_has_lambda_no_structure;material_type_should_be_hydride_or_paper_id_wrong,Find the correct SnH8 high-pressure hydride paper/source and move this case out of 2d-layered if needed.,1.139
lam027,CaSn6,2d-layered,CaSn6 (Ca-decorated stanene),0.0,,Ca-decorated stanene; one adatom per Sn6 cell,4.64,4.64,adatom height 2.24 A above stanene plane; slab vacuum not tabulated,"partial: stanene lattice, buckling, Sn-Sn bond, and adatom height reported; full fractional coordinates absent",high,repo_current_structure_not_source_verified;atomic_positions_manual_required,Build decorated stanene directly; treat current formula-matched OpenLAM cells as candidates only.,0.54
lam028,LiSn6,2d-layered,LiSn6 (Li-decorated stanene),0.0,,Li-decorated stanene; one adatom per Sn6 cell,4.64,4.64,adatom height 1.75 A above stanene plane; slab vacuum not tabulated,"partial: stanene lattice, buckling, Sn-Sn bond, and adatom height reported; full fractional coordinates absent",high,repo_current_structure_not_source_verified;atomic_positions_manual_required,Build decorated stanene directly; treat current formula-matched OpenLAM cells as candidates only.,0.65
lam029,Mg2B4C2,2d-layered,(single),,P-3m1 (layer group p-3m1),2D MgB2-like monolayer (inner B-B layer + outer B-C layers + Mg); charge-neutral inversion-symmetric,2.87,2.87,,lattice+proto,high,atomic_positions_manual_required,Use the reported layer group/lattice and recover fractional coordinates from supplement or reconstruct from the reported geometry.,1.4
lam030,Mo2CHXe,2d-layered,Mo2C bare 2H MXene,,,"2H MXene Mo2C monolayer, hexagonal cell with A-A Mo stacking (bare)",2.82,2.82,,lattice+proto,high,atomic_positions_manual_required,Use 2H Mo2C lattice and recover 2H coordinates from source/supplement rather than formula candidates.,0.556
lam031,Mo2C(OH)2,2d-layered,"Mo2C(OH)2 (OH-terminated 2H, unstable)",0.0,,"2H Mo2C MXene, OH-terminated model III; dynamically unstable in source",2.89,2.89,interlayer vacuum at least 10 A,partial: most stable OH model and lattice reported; full coordinates absent; source says structure is unstable,medium,target_structurally_unstable;repo_current_structure_space_group_mismatch:Pnnm_formula_candidate_vs_2H_OH_MXene;atomic_positions_manual_required,Keep as an unstable-reference case only; do not replace it with bare Mo2C or a Pnnm formula candidate.,1.93
lam032,Mo2CH2,2d-layered,"Mo2CH2 (H-terminated 2H, 1% strain)",,,"2H MXene Mo2C monolayer (H-terminated, hollow sites, 1% in-plane tensile strain); in-plane a from bare 2H Mo2C = 2.82 A (terminated lattice constant not separately reported)",,,,proto-only,high,atomic_positions_manual_required,Build 2H H-terminated model I and apply 1% strain; recover H positions from supplement/figure.,0.732
lam033,Mo2CO2,2d-layered,Mo2CO2 (O-terminated 2H),,,"2H MXene Mo2C monolayer (O-terminated, O above topmost C sites); in-plane a from bare 2H Mo2C = 2.82 A (terminated lattice constant not separately reported)",,,,proto-only,high,atomic_positions_manual_required,Build 2H O-terminated model II and recover O/Mo/C fractional positions from source/supplement.,0.231
lam034,Ti2C,2d-layered,Ti2C monolayer,0.0,,Ti2C monolayer MXene preliminary EPC case,,,,"missing in source: EPC convergence table exists, but structural model is not specified beyond preliminary Ti2C mention",medium,LKM_has_lambda_no_structure;repo_current_structure_not_source_verified:OpenLAM_P-1_candidate;manual_required,Locate the Ti2C structural source or supplementary coordinates; treat current Ti2C.scf.in as a candidate only.,0.402
lam035,B2C,2d-layered,"B2C monolayer, mu*=0.10",0.0,,metastable rectangular B2C single-layer target from source,2.552,3.392,vacuum about 20 A,"partial: lattice, bonds, and corrugation reported; full fractional coordinates absent from LKM markdown",high,repo_current_structure_space_group_mismatch:P-3m1_formula_candidate_vs_rectangular_target;atomic_positions_manual_required,Build the rectangular source structure; do not use the hexagonal-looking OpenLAM B2C candidate as ground truth.,0.92
lam036,C2CaC2,2d-layered,"C2CaC2 AA-stacking, -2% biaxial strain",,P6/mmm,"Ca-intercalated AA-stacking bilayer graphene; pristine (unstrained) a0=2.605 A, interlayer separation 5.096 A. Case is -2% biaxial strain: a = 0.98*2.605 = 2.553 A (computed from pristine; strained lattice not separately tabulated)",2.553,2.553,5.096,lattice+proto,high,atomic_positions_manual_required,Use the P6/mmm AA cell and apply the listed biaxial strain; recover exact fractional coordinates from supplement/figure if needed.,0.86
lam037,C2CaC2,2d-layered,"C2CaC2 AA-stacking, -4% biaxial strain",,P6/mmm,"Ca-intercalated AA-stacking bilayer graphene; pristine (unstrained) a0=2.605 A, interlayer separation 5.096 A. Case is -4% biaxial strain: a = 0.96*2.605 = 2.501 A (computed from pristine; strained lattice not separately tabulated)",2.501,2.501,5.096,lattice+proto,high,atomic_positions_manual_required,Use the P6/mmm AA cell and apply the listed biaxial strain; recover exact fractional coordinates from supplement/figure if needed.,1.11
lam038,C2CaC2,2d-layered,"C2CaC2 AA-stacking, unstrained",,P6/mmm,"Ca-intercalated AA-stacking bilayer graphene (unstrained). a=2.605 A, interlayer graphene separation 5.096 A (used as c), C-C bond 1.501 A, nearest Ca-Ca 2.601 A",2.605,2.605,5.096,lattice+proto,high,atomic_positions_manual_required,Use the P6/mmm AA cell and apply the listed biaxial strain; recover exact fractional coordinates from supplement/figure if needed.,0.75
lam039,Mg2Ir3Si,heavy-soc,Mg2Ir3Si with SOC,0,P6_3/mmc,Mg2Cu3Si-type (hexagonal; Ir Kagome network),,,,proto-only,high,repo_no_current_structure,build QE structure from paper Wyckoff/lattice; preserve SOC/no-SOC as calculation setting,0.93
lam040,Mg2Ir3Si,heavy-soc,Mg2Ir3Si without SOC,0,P6_3/mmc,Mg2Cu3Si-type (hexagonal; Ir Kagome network),,,,proto-only,high,repo_no_current_structure,build QE structure from paper Wyckoff/lattice; preserve SOC/no-SOC as calculation setting,1.05
lam041,ScRuSi,heavy-soc,ScRuSi,0.0,Pnma (62),TiNiSi-type orthorhombic,6.7007,4.1241,7.1064,"full 4c positions from paper: Sc/Ru/Si at (x,1/4,z) with x=0.00236/0.15788/0.29714 and z=0.68455/0.06209/0.38694",high,condition_material_inconsistent;repo_current_structure_space_group_mismatch;repo_current_formula_mismatch,replace lam041 structure with ScRuSi Pnma target; do not reuse RuSi.scf.in,0.54
lam043,BaPt4Ge12,heavy-soc,BaPt4Ge12 with SOI,0,Im-3,filled skutterudite (LaFe4P12-type; bcc),,,,proto-only,high,repo_no_current_structure,build conventional/primitive Im-3 skutterudite cell from paper lattice and Wyckoff data,0.74
lam044,SrPt4Ge12,heavy-soc,SrPt4Ge12 with SOI,0,Im-3,filled skutterudite (LaFe4P12-type; bcc),,,,proto-only,high,repo_no_current_structure,build conventional/primitive Im-3 skutterudite cell from paper lattice and Wyckoff data,0.79
lam045,ThPt4Ge12,heavy-soc,ThPt4Ge12 with SOI,0,Im-3,filled skutterudite (LaFe4P12-type; bcc),,,,proto-only,high,repo_no_current_structure,build conventional/primitive Im-3 skutterudite cell from paper lattice and Wyckoff data,0.69
lam046,LaOs4As12,heavy-soc,LaOs4As12,0,Im-3,"filled skutterudite (LaFe4P12-type; bcc, 17-atom cell)",8.706,8.706,8.706,full,high,repo_no_current_structure,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance,0.59
lam048,YOs4P12,heavy-soc,YOs4P12,0,Im-3,"filled skutterudite (LaFe4P12-type; bcc, 17-atom cell)",8.136,8.136,8.136,full,high,repo_no_current_structure,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance,0.55
lam049,YRu4P12,heavy-soc,YRu4P12,0,Im-3,"filled skutterudite (LaFe4P12-type; bcc, 17-atom cell)",8.085,8.085,8.085,full,high,repo_no_current_structure,build missing skutterudite targets from paper table; for lam047 verify repo primitive cell symmetry tolerance,0.78
lam050,CaIr2,heavy-soc,"CaIr2, with SOC",0.0,Fd-3m (227),cubic C15 Laves AB2,7.595,7.595,7.595,"full primitive basis from paper: A at (0,0,0),(1/4,1/4,1/4); B at (5/8,5/8,5/8),(5/8,7/8,7/8),(7/8,5/8,7/8),(7/8,7/8,5/8)",high,repo_current_structure_space_group_mismatch;repo_current_structure_wrong_C15_polytype,replace repo CaIr2 P6_3/mmc candidate with Fd-3m C15 Laves target,1.05
lam051,CaIr2,heavy-soc,"CaIr2, without SOC",0.0,Fd-3m (227),cubic C15 Laves AB2,7.594,7.594,7.594,"full primitive basis from paper: A at (0,0,0),(1/4,1/4,1/4); B at (5/8,5/8,5/8),(5/8,7/8,7/8),(7/8,5/8,7/8),(7/8,7/8,5/8)",high,repo_current_structure_space_group_mismatch;repo_current_structure_wrong_C15_polytype,replace repo CaIr2 P6_3/mmc candidate with Fd-3m C15 Laves target,1.43
lam054,LaIr2Si2,heavy-soc,LaIr2Si2 (HTP P4/nmm),0,P4/nmm,"122-type high-temperature polymorph (CaBe2Ge2-type, tetragonal)",4.214,4.214,10.009,lattice+proto,high,repo_no_current_structure,build P4/nmm CaBe2Ge2 HTP structure directly from paper positions,0.56
lam055,YIr2Si2,heavy-soc,YIr2Si2 (HTP P4/nmm),0,P4/nmm,"122-type high-temperature polymorph (CaBe2Ge2-type, tetragonal)",4.132,4.132,9.858,lattice+proto,high,repo_no_current_structure,build P4/nmm CaBe2Ge2 HTP structure directly from paper positions,0.61
lam057,LaPtBN,heavy-soc,LaPtBN,0,,n=2 layered boronitride (LaPtBN; alternating Pt-B and La-N layers),,,,proto-only,high,repo_no_current_structure,build missing LaPtBN P4/nmm structure from paper lattice and z coordinates,0.56
lam058,SrPt3P,heavy-soc,"SrPt3P, mu*=0.10",0,P4/nmm,"antiperovskite SrPt3P (tetragonal, antipolar; Pt6 octahedra)",,,,proto-only,low,LKM_has_lambda_but_no_structure;repo_no_current_structure,manual_required: fetch crystallographic source from original paper/supporting data or validated database candidate,1.06
lam060,LaPt2B2C,heavy-soc,LaPt2B2C,0,I4/mmm,LuNi2B2C-type (RM2B2C borocarbide),3.904,3.904,10.773,lattice+proto,high,repo_no_current_structure,build missing I4/mmm structure from table,0.78
lam062,YPd2B2C,heavy-soc,YPd2B2C,0,I4/mmm,LuNi2B2C-type (RM2B2C borocarbide),3.807,3.807,10.745,lattice+proto,high,repo_no_current_structure,build missing I4/mmm structure from table,1.48
lam063,YPt2B2C,heavy-soc,YPt2B2C,0,I4/mmm,LuNi2B2C-type (RM2B2C borocarbide),3.809,3.809,10.818,lattice+proto,high,repo_no_current_structure,build missing I4/mmm structure from table,0.96
lam064,Ca3Ir4Ge4,heavy-soc,(single),0,noncentrosymmetric body-centred cubic (Ca3Ir4Ge4-type),Ca3Ir4Ge4-type (noncentrosymmetric body-centred cubic),7.651,7.651,7.651,lattice+proto,high,repo_no_current_structure,build I-43m target from paper; decide whether benchmark run must include SOC separately from literature lambda,0.51
lam065,SrPtAs,heavy-soc,(single),0,P6/mmm,hexagonal honeycomb pnictide (KZnAs-related),4.307,4.307,9.063,lattice+proto,high,repo_no_current_structure,build P6/mmm target from paper Wyckoff/lattice,0.78
