date,material,knob_config,functional,qgrid,kgrid,smearing_Ry,lambda,omega_log_K,delta_vs_A0_pct,g_rms_dev_pct,core_hours,artifacts_path,decision,notes
2026-06-13,Na,A0,LDA,4x4x4,24x24x24,0.025,0.293,122.4,,,3.8,lbg:22867110,q6 partner,top_q 24%; smearing-flat
2026-06-13,Na,A0,LDA,6x6x6,24x24x24,0.025,0.318,113.3,,,11.2,lbg:22867111,baseline A0,top_q 14%; q4->q6 +8.5%
2026-06-13,Na,A4-vertex-vs-A0(P fixed),LDA,6x6x6,24x24x24,0.025,,,,ratio 1->140 with q,0,local analysis,INVESTIGATE,"DFPT eff |g|^2 flat/rising vs model falling toward 2kF node; candidates: k-grid under-resolved double-delta (grid 0.032/bohr vs sigma-width 0.025), Umklapp tails, pseudo nonlocality, mode-assignment proxy"
2026-06-13,Na,A4u-vertex-vs-A0(P fixed),LDA,6x6x6,24x24x24,0.025,,,-11 (total),mode-resolved ratios 1.00->0.81,0,scripts/a4u_vs_a0_na.py,VALIDATED,"Umklapp lattice sum mandatory at all rungs; theorem holds ~10% for Na; residual monotone, consistent with sharp-2kF cutoff vs smeared double-delta"
2026-06-13,Na,A0-kconv,LDA,4x4x4,32x32x32,0.025,0.292,122.3,-0.3 vs k24,,4.5,lbg:22867291,k-suspect ELIMINATED,double-delta converged at k24
2026-06-13,Na,A0-kconv,LDA,4x4x4,40x40x40,0.025,,,,,1.0,lbg:22867292,failed,"QE set_kplusq limit (known, harmless)"
2026-06-13,Na,vc-relax,LDA,,24x24x24,0.01,,,,,0.3,lbg:22867417,relaxed-vol q6 submitted (22867472),LDA a0=7.736 bohr=4.09A vs expt 4.29A: -13% volume
2026-06-13,Al,A0,LDA,6x6x6,24x24x24,0.025,0.503,269.7,,,8,lbg:22867416,baseline,top-q 6%; expt lambda ~0.43 - same-direction volume effect as Na
2026-06-13,Al,A4u-vertex-vs-A0(P fixed),LDA,6x6x6,24x24x24,0.025,,,+62 (total),large-q ~1.0; small-q T-modes x2-7 over,0,frozen recipe,A3-RUNG IDENTIFIED,overcount localized in small-q transverse Umklapp channels crossing Bragg planes where real Al FS is gapped; screened vertex magnitude itself fine (large-q ratios 0.9-1.1); spherical-FS phase space is the failing element - price: 60% for multivalent Al vs 10% monovalent Na
2026-06-13,Na,A0-relaxedvol,LDA,6x6x6,24x24x24,0.025,0.200,141.4,-37 vs expt-vol,,11,lbg:22867472,VOLUME VERDICT,matches EPW-PBE 0.2 exactly; 0.32->0.20 entirely from volume slot; theory-vs-experiment gap (0.2 vs 0.10 PC) remains as physics
2026-06-13,K,A0,LDA,6x6x6,24x24x24,0.025,0.326,56.3,,,13,lbg:22867415,baseline,expt volume; same LDA-volume caveat as Na expected
2026-06-13,K,A4u-vertex-vs-A0(P fixed),LDA,6x6x6,24x24x24,0.025,,,+800 (total),scattered 0.14-152; one soft-mode blowup,0,frozen recipe,FAILED - INSTRUCTIVE,"K node BELOW 2kF puts Umklapp channel weights on top of the form-factor node (hypersensitive) and soft T modes amplify via 1/om^2; same lattice+valence as Na -> failure is material-parameter sensitivity not code; refinements queued: smeared nesting (R1), A2-level dvscf matrix-element check near node (R2)"
2026-06-13,Ta,A0,PBE,4x4x4,24x24x24,0.025,0.896,154.6,,,30,lbg:22867430,baseline,lit 0.85 / exp 0.79; scalar-rel expt-vol
2026-06-13,Mo,A0,PBE,4x4x4,24x24x24,0.025,0.561,261.5,,,13,lbg:22867431,baseline,lit 0.49 / exp-SH 0.45; H-point row hot (lam~3.4) - q4 underconverged suspect
2026-06-13,Pb,A0-scalar,PBE,4x4x4,24x24x24,0.025,0.921,70.7,,,19,lbg:22867432,baseline,paper no-SOC 1.08; FR+SOC pair queued
2026-06-13,MgB2,A0,PBE,4x4x3,16x16x12,0.025,0.627,732.2,,,23,lbg:22867434,baseline,consistent with repo q4 0.66; E2g q-convergence known
2026-06-13,Ta+Mo,T-share diagnostic (model-free),PBE,4x4x4,24x24x24,0.025,,,,T-share: Ta 63% / Mo 71% TOTAL,0,inline,D-REGION VERDICT,transverse dominates at ALL q incl. smallest (Ta 69% at 0.167*2kF vs Na 0.2% at 0.19*2kF); d deformation potential couples to shear - no scalar-UEG analog; UEG-based rungs cap at ~30-37% of lambda for bcc d metals; minimal theory needs orbital/NL vertex channel
2026-06-13,V,A0,PBE,6x6x6,24x24x24,0.025,1.064,239.8,,,75,lbg:22867428,baseline,lit 1.18 / exp-SH 1.17 / our-q2 1.013; top-q 10%
2026-06-13,V,T-share diagnostic (model-free),PBE,6x6x6,24x24x24,0.025,,,,T-share 72.8% @ 0.111*2kF; TOTAL 63.4%,0,inline,D-VERDICT x3,3d/4d/5d all confirm: transverse/orbital channel carries ~2/3 of lambda at all q
2026-06-13,P-70GPa,A0,PBE,4x4x4,32x32x32,0.025,0.701,440.0,+4 vs paper 0.676,,20,lbg:22867923,REPRODUCED anchor,sc z=5 clean; matches our prior LBG 0.701
2026-06-13,S-280GPa,A0,PBE,4x4x4,32x32x32,0.025,0.585,549.1,+10 vs paper 0.53,,18,lbg:22867926,REPRODUCED anchor,sc z=6
2026-06-13,P-70GPa,A4u + T-share,PBE,4x4x4,32x32x32,0.025,,,A4u total ratio 0.40 (UNDERshoots),T-share 65% (77% smallest-q),0,frozen recipe,KEY FINDING,p-block FS has orbital deformation potential like d-metals; A4u undershoots 2.5x; refines axis from sp-vs-d to s-character-vs-orbital(p/d)
2026-06-13,S-280GPa,T-share,PBE,4x4x4,32x32x32,0.025,,,,T-share 71% (72% smallest-q),0,inline,CONFIRMS,3p FS same orbital signature
2026-06-13,NbC,A0,PBE,4x4x4,24x24x24,0.025,0.843,310.0,+9 vs lit 0.77,,11,lbg:22867433,baseline-q4,top-q 18%; Kohn acoustic spike lam=3.4 at |q|=0.644 - needs q6
