material,phase,structure,knobs_planned,qgrid_target,functional,status,notes
Na,1,bcc,A0;A1;A2;A3;A4u;P;F,6x6x6,LDA+PBE,A0+A4u done,A4u validated ~10%; vertex theorem-protected; volume/k-res suspects in flight
K,1,bcc,A0;A1;A2;A3;A4u;P,6x6x6,LDA,A0 submitted,frozen-recipe replicate; form-factor node BELOW 2kF (vs Na at, Al beyond) - node-position diversity test
Al,2,fcc,A0;A1;A2;A3;A4u;P;F,6x6x6,LDA,A0 submitted,multivalent fcc; FS crosses zone boundary - first real test beyond near-spherical
Sn,2,beta-Sn bct,A0;A1;A2;A3;A4,4x4x4,LDA,pending,non-cubic sp
Pb,2,fcc,A0;A1;A2;A3;A4 x {SOC on;off},4x4x4,LDA-FR,pending,does SOC disturb the cancellation?
V,3,bcc,A0;A1;A2;A3;A4;NL,6x6x6,LDA,pending,d at EF; bleed-order measurement
Ta,3,bcc,A0;A1;A2;NL,4x4x4,LDA,pending,5d replicate
Mo,3,bcc,A0;A1;A2;NL,4x4x4,LDA,pending,4d low-lambda replicate
NbC,4,B1,A0;A1;A2;P,6x6x6,LDA,pending,Kohn anomaly: is the analytic 2kF structure in A3 MORE converged than coarse-q DFPT?
NbN,4,B1,A0;A1;A2,6x6x6,LDA,pending,
MgB2,4,AlB2,A0;A1,4x4x4(6 in-plane),LDA,pending,expected A1 ceiling (sigma-bond orbital selectivity)
Nb3Sn,4,A15,A0;A1;A2,4x4x4,LDA,pending,8-atom cell; cost tier high
V3Si,4,A15,A0;A1,4x4x4,LDA,pending,
P-70GPa,1-anchor,sc(ibrav1),A0;A4u;P,4x4x4(validated +2%),PBE,A0 submitted 22867923,REPRODUCED anchor; SG15 z=5 chemical valence - no semicore; large lambda 0.8; stiff phonons
S-160GPa,1-anchor,beta-Po,A0;A4u,4x4x4(validated 3.5%),PBE,A0 submitted 22867925,REPRODUCED anchor; z=6 clean
S-280GPa,1-anchor,sc,A0;A4u,4x4x4(validated),PBE,A0 submitted 22867926,REPRODUCED anchor
