case_id,paper_id,material_type,condition_original,target_formula_or_system,phase_or_prototype,space_group_symbol,space_group_number,pressure_GPa,temperature_K,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,atomic_positions_status,soc_or_relativistic,strain_or_doping,source_kind,evidence_location,evidence_snippet,confidence,mismatch_flags,recommended_next_step
lam001,1215273021510516746,2d-layered,"Grokene (K-doped graphene 4x4), Allen-Dynes mean-field",K-doped grokene / graphene 4x4 superlattice,4x4 graphene supercell with 6.25 at.% interstitial K; buckled grokene,P-6m2,187,0,0,9.84,8.52,,90,90,90,"partial: a,b, prototype, K height known; full fractional coordinates not in LKM markdown",not reported,K interstitial doping 6.25 at.%; K height about 1.85 A above graphene plane,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,structure_hints.json:lam001; lkm_content/1215273021510516746.md:47-53,"Paper describes a K-doped 4x4 graphene target; symmetry is reduced by buckling, with a=9.84 A, b=8.52 A and K about 1.85 A above the sheet.",high,atomic_positions_manual_required,Recover or reconstruct full 4x4 fractional coordinates from paper figures/supplement before SCF build.
lam002,811176152671453187,2d-layered,Li0.2P0.8 (A-X-B intercalated blue-P bilayer),Li0.2P0.8,A-X-B intercalated blue-phosphorus bilayer; one metal atom per four P atoms,,,0,0,3.356,3.356,interlayer d=2.252 A; buckling/height h=2.036 A; slab vacuum not tabulated,90,90,120,partial: Table 2 gives lattice/d/h; full fractional coordinates absent from LKM markdown,not reported,Li intercalation X0.2P0.8; A-X-B stacking favored,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/811176152671453187.md:49-112,130-208","The paper compares A-X-A/B/C stackings and reports A-X-B as favored; Table 2 gives a, d, and h for Li/Na/Mg intercalated bilayers.",high,atomic_positions_manual_required,Use A-X-B bilayer geometry and supplement/figure data to place metal and P fractional coordinates.
lam003,811176152671453187,2d-layered,Mg0.2P0.8 (A-X-B intercalated blue-P bilayer),Mg0.2P0.8,A-X-B intercalated blue-phosphorus bilayer; one metal atom per four P atoms,,,0,0,3.327,3.327,interlayer d=2.281 A; buckling/height h=2.067 A; slab vacuum not tabulated,90,90,120,partial: Table 2 gives lattice/d/h; full fractional coordinates absent from LKM markdown,not reported,Mg intercalation X0.2P0.8; A-X-B stacking favored,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/811176152671453187.md:49-112,130-208","The paper compares A-X-A/B/C stackings and reports A-X-B as favored; Table 2 gives a, d, and h for Li/Na/Mg intercalated bilayers.",high,atomic_positions_manual_required,Use A-X-B bilayer geometry and supplement/figure data to place metal and P fractional coordinates.
lam004,811176152671453187,2d-layered,Na0.2P0.8 (A-X-B intercalated blue-P bilayer),Na0.2P0.8,A-X-B intercalated blue-phosphorus bilayer; one metal atom per four P atoms,,,0,0,3.398,3.398,interlayer d=2.261 A; buckling/height h=2.314 A; slab vacuum not tabulated,90,90,120,partial: Table 2 gives lattice/d/h; full fractional coordinates absent from LKM markdown,not reported,Na intercalation X0.2P0.8; A-X-B stacking favored,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/811176152671453187.md:49-112,130-208","The paper compares A-X-A/B/C stackings and reports A-X-B as favored; Table 2 gives a, d, and h for Li/Na/Mg intercalated bilayers.",high,atomic_positions_manual_required,Use A-X-B bilayer geometry and supplement/figure data to place metal and P fractional coordinates.
lam005,811685820145598464,2d-layered,(single),Pb monolayer on Si(111),striped incommensurate SIC-Pb on Si(111) slab,,,0,0,,,,90,90,,missing in LKM markdown: figure-described slab only; lattice and coordinates not tabulated,scalar-relativistic Pb pseudopotential used; SOC effect discussed but source lambda is scalar-relativistic DFPT,substrate-supported Pb monolayer; Si substrate atoms partly fixed,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/811685820145598464.md:42,66-68","The source identifies one Pb layer on Si(111) and DFPT on a four-Pb-cell slab, but the markdown does not provide a reproducible lattice or coordinate table.",medium,LKM_has_lambda_no_structure;atomic_positions_manual_required,Fetch original structure figure/supplement or author-provided slab coordinates; do not substitute a free Pb monolayer.
lam006,812325968965271553,2d-layered,(single),2H-NbS2,2H layered transition-metal dichalcogenide,P6_3/mmc,194,0,0,,,,90,90,120,prototype only from source; lattice and fractional coordinates absent from LKM markdown,not reported,none; ambient-pressure bulk/layered 2H phase,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/812325968965271553.md:14,48; L3-dfpt-lambda/build_status.csv:lam006","The paper explicitly targets 2H-NbS2 and reports EPC values, but does not tabulate structural parameters in the markdown.",medium,LKM_has_lambda_no_structure;repo_current_structure_space_group_mismatch:R3m_vs_P6_3/mmc;atomic_positions_manual_required,Replace current NbS2 OpenLAM R3m candidate with a source-validated 2H P6_3/mmc cell.
lam007,812473244324986880,2d-layered,(single),Mg2B4C2,"monolayer Mg2B4C2, MgB2-derived, inversion-symmetric p-3m1 layer group",p-3m1 (layer group),72 (layer group),0,0,2.87,2.87,vacuum about 30 A; monolayer thickness 7.14 A,90,90,120,"partial: lattice, thickness, and interlayer distances reported; full fractional coordinates absent from LKM markdown",SOC negligible and not included,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/812473244324986880.md:38-40,296-298","The source reports monolayer Mg2B4C2 with layer group p-3m1, a=b=2.87 A, thickness 7.14 A, and negligible SOC.",high,atomic_positions_manual_required,Use the reported layer group/lattice and recover fractional coordinates from supplement or reconstruct from the reported geometry.
lam008,812688058997538816,2d-layered,CaTiS2 (Ca-deposited monolayer),CaTiS2,"Ca-deposited monolayer 1T-TiS2, CABC stacking",not reported; parent 1T-TiS2 P-3m1,164 (parent),0,0,3.58,3.58,vacuum 12 A used for monolayer calculations; deposited-cell c not tabulated,90,90,120,partial: a and CABC stacking reported; full Ca/Ti/S fractional coordinates absent from LKM markdown,not reported,chemical electron doping by Ca deposition; charge transfer about 0.79 e/TiS2; no tensile strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/812688058997538816.md:126,136-248,331",The source uses CABC Ca deposition on monolayer 1T-TiS2 and Table I reports CaTiS2 a=3.58 A with 0.79 e/TiS2 charge transfer.,high,repo_current_structure_not_source_verified;atomic_positions_manual_required,Build the CABC deposited monolayer explicitly; treat current OpenLAM CaTiS2 as a formula candidate only.
lam009,813214157951205376,2d-layered,"electron-doped monolayer MoS2, x=0.18 electrons/f.u.",MoS2 monolayer + electron background,electron-doped single-layer trigonal-prismatic MoS2,P-6m2 (monolayer proxy),187,0,0,3.122,3.122,vacuum >=14.5 A,90,90,120,partial: lattice and monolayer prototype given; Mo-S distance relaxed by doping but not tabulated in LKM markdown,not included in reported DFPT setup,electron doping x=0.18 e/f.u. with compensating positive background,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/813214157951205376.md:24,31-37; L3-dfpt-lambda/build_status.csv:lam009","The target is single-layer MoS2 with fixed a=3.122 A, at least 14.5 A vacuum, and added electrons plus a uniform compensating background.",medium,repo_current_structure_space_group_mismatch:P6_3/mmc_bulk_vs_monolayer;atomic_positions_manual_required,Replace current bulk 2H MoS2 structure with a doped monolayer slab and relax Mo-S distance for x=0.18.
lam010,813254743873814530,2d-layered,TiB4 bilayer +11% biaxial tensile strain,TiB4,"TiB4 bilayer TBBL, P4/nmm, +11% biaxial tensile strain",P4/nmm,129,0,0,4.523,4.523,vacuum 20 A; unstrained bilayer a=4.075 A,90,90,90,"partial: bilayer symmetry, Ti displacement, and interlayer B-B distance reported; strained fractional coordinates absent",not reported,+11% biaxial tensile strain applied to bilayer,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/813254743873814530.md:36-38,52,170-196; L3-dfpt-lambda/build_status.csv:lam010",The bilayer ground structure is P4/nmm with a=b=4.075 A; the benchmark condition is the +11% tensile-strained bilayer.,high,repo_current_structure_space_group_mismatch:Immm_vs_P4/nmm;atomic_positions_manual_required,Construct P4/nmm TBBL from source geometry and apply 11% biaxial strain before DFPT.
